Country Name	2019
Afghanistan	19101353833
Angola	94635415870
Albania	15278077447
Andorra	3154057987
United Arab Emirates	4.21E+11
Argentina	4.50E+11
Armenia	13672802158
Antigua and Barbuda	1727759259
Australia	1.39E+12
Austria	4.46E+11
Azerbaijan	48047647059
Burundi	3012334882
Belgium	5.30E+11
Benin	14390709095
Burkina Faso	15745810235
Bangladesh	3.03E+11
Bulgaria	67927179737
Bahrain	38574069149
"Bahamas, The"	12827000000
Bosnia and Herzegovina	20047848435
Belarus	63080457023
Belize	1879613600
Bolivia	40895322865
Brazil	1.84E+12
Barbados	5209000000
Brunei Darussalam	13469422941
Botswana	18340510789
Central African Republic	2220307369
Canada	1.74E+12
Switzerland	7.03E+11
Chile	2.82E+11
China	1.43E+13
Cote d'Ivoire	58792205642
Cameroon	38760467033
"Congo, Dem. Rep."	47319624204
"Congo, Rep."	10820591131
Colombia	3.24E+11
Comoros	1185728677
Cabo Verde	1981845741
Costa Rica	61773944174
Cyprus	24564647935
Czech Republic	2.46E+11
Germany	3.85E+12
Djibouti	3318716359
Dominica	596033333.3
Denmark	3.48E+11
Dominican Republic	88941298258
Algeria	1.70E+11
Ecuador	1.07E+11
"Egypt, Arab Rep."	3.03E+11
Spain	1.39E+12
Estonia	31386949981
Ethiopia	96107662398
Finland	2.69E+11
Fiji	5535548972
France	2.72E+12
Gabon	16657960228
United Kingdom	2.83E+12
Georgia	17743195770
Ghana	66983634224
Guinea	13590281809
"Gambia, The"	1763819048
Guinea-Bissau	1340389411
Equatorial Guinea	11026774945
Greece	2.10E+11
Grenada	1228170370
Guatemala	76710385880
Guyana	4280443645
"Hong Kong SAR, China"	3.66E+11
Honduras	25095395475
Croatia	60415553039
Haiti	8498981821
Hungary	1.61E+11
Indonesia	1.12E+12
Isle of Man	
India	2.88E+12
Ireland	3.89E+11
"Iran, Islamic Rep."	
Iraq	2.34E+11
Iceland	24188035739
Israel	3.95E+11
Italy	2.00E+12
Jamaica	16458071068
Jordan	43743661972
Japan	5.08E+12
Kazakhstan	1.80E+11
Kenya	95503088538
Kyrgyz Republic	8454619608
Cambodia	27089389787
Kiribati	194647201.9
St. Kitts and Nevis	1050992593
"Korea, Rep."	1.64E+12
Kuwait	1.35E+11
Lao PDR	18173839128
Lebanon	53367042272
Liberia	3070518100
Libya	52076250948
St. Lucia	2122450630
Sri Lanka	84008783756
Lesotho	2460072444
Lithuania	54219315600
Luxembourg	71104919108
Latvia	34117202555
"Macao SAR, China"	53859116536
Morocco	1.19E+11
Moldova	11955435457
Madagascar	14083906357
Maldives	5729248472
Middle East & North Africa	3.70E+12
Mexico	1.26E+12
Middle income	3.22E+13
North Macedonia	12694823394
Mali	17510141171
Malta	14786156563
Myanmar	76085852617
Montenegro	5494736901
Mongolia	13852850259
Mozambique	14934159926
Mauritania	7593752450
Mauritius	14180444557
Malawi	7666704427
Malaysia	3.65E+11
North America	2.32E+13
Namibia	12366527719
Niger	12928145120
Nigeria	4.48E+11
Nicaragua	12520915291
Netherlands	9.09E+11
Norway	4.03E+11
Nepal	30641380604
Nauru	118223430.1
New Zealand	2.07E+11
Oman	76983094928
Pakistan	2.78E+11
Panama	66800800000
Peru	2.27E+11
Philippines	3.77E+11
Papua New Guinea	24969611435
Poland	5.92E+11
Pre-demographic dividend	1.39E+12
Puerto Rico	1.05E+11
Portugal	2.38E+11
Paraguay	38145288940
French Polynesia	
Qatar	1.83E+11
Romania	2.50E+11
Russian Federation	1.70E+12
Rwanda	10122472590
South Asia	3.60E+12
Saudi Arabia	7.93E+11
Sudan	18902284476
Senegal	23578084052
Singapore	3.72E+11
Solomon Islands	1425074226
Sierra Leone	3941474311
El Salvador	27022640000
Serbia	51409167351
Sub-Saharan Africa	1.76E+12
Sao Tome and Principe	429016605.2
Suriname	3985250737
Slovak Republic	1.05E+11
Slovenia	53742159517
Sweden	5.31E+11
Eswatini	4405405802
Seychelles	1698843063
Chad	11314951343
Togo	5459979417
Thailand	5.44E+11
Tajikistan	8116626794
Timor-Leste	1673540300
Trinidad and Tobago	24100202834
Tunisia	38797709924
Turkey	7.54E+11
Tuvalu	47271463.33
Tanzania	63177068175
Uganda	34387229486
Ukraine	1.54E+11
Uruguay	56045912952
United States	2.14E+13
Uzbekistan	57921286440
St. Vincent and the Grenadines	825385185.2
Vietnam	2.62E+11
Vanuatu	917058850.8
Samoa	850655017.2
Kosovo	7926108374
South Africa	3.51E+11
Zambia	23064722446
Zimbabwe	21440758800
